DRUG NAME,Organism/Organism Group,"CLSI
>= S ","CLSI 
= I/SDD","CLSI
<= R",FDA STIC >=S,"FDA STIC
=I",FDA STIC <=R,CLSI & FDA match?,Comments
Ciprofloxacin,Streptococcus pneumoniae,-,-,-,21,16-20,15,No,CLSI does not have breakpoints for this drug/bug combination
Clarithromycin,Streptococcus pneumoniae,21,17-20,16,same,same,same,Yes,
Clindamycin,Streptococcus pneumoniae,19,16-18,15,same,same,same,Yes,
Dirithromycin,Streptococcus pneumoniae,18,14-17,13,-,-,-,No,Dirithromycin not listed on FDA STIC website
Doxycycline,Streptococcus pneumoniae,28,25-27,24,same,same,same,Yes,
Erythromycin,Streptococcus pneumoniae,21,16-20,15,same,same,same,Yes,
Gatifloxacin,Streptococcus pneumoniae,21,18-20,17,-,-,-,No,Gatifloxacin not listed on FDA STIC website
Gemifloxacin,Streptococcus pneumoniae,23,20-22,19,same,same,same,Yes,
Lefamulin,Streptococcus pneumoniae,19,-,-,same,same,same,Yes,
Levofloxacin,Streptococcus pneumoniae,17,14-16,13,same,same,same,Yes,
Linezolid,Streptococcus pneumoniae,21,-,-,same,same,same,Yes,
Moxifloxacin,Streptococcus pneumoniae,18,15-17,14,same,same,same,Yes,
Ofloxacin,Streptococcus pneumoniae,16,13-15,12,same,same,same,Yes,
Oxacillin,Streptococcus pneumoniae,20,-,-,-,-,-,No,FDA STIC website does not recognize breakpoints
Quinupristin-dalfopristin,Streptococcus pneumoniae,19,16-18,15,-,-,-,No,FDA STIC website does not recognize breakpoints
Rifampin,Streptococcus pneumoniae,19,17-18,16,-,-,-,No,FDA STIC website does not recognize breakpoints
Sparfloxacin,Streptococcus pneumoniae,19,16-18,15,-,-,-,No,Sparfloxacin not listed on FDA STIC website
Tetracycline,Streptococcus pneumoniae,28,25-27,24,same,same,same,Yes,
Trimethoprim-Sulfamethoxazole,Streptococcus pneumoniae,19,16-18,15,same,same,same,Yes,
Vancomycin,Streptococcus pneumoniae,17,-,-,-,-,-,No,FDA STIC does not recognize breakpoints for Streptococcus pneumoniae
Azithromycin,Streptococcus viridans group,18,14-17,13,-,-,-,No,FDA STIC website does not recognize breakpoints
Cefepime,Streptococcus viridans group,24,22-23,21,same,same,same,Yes,
Cefotaxime,Streptococcus viridans group,28,26-27,25,same,same,same,Yes,
Ceftriaxone,Streptococcus viridans group,27,25-26,24,same,same,same,Yes,
Chloramphenicol,Streptococcus viridans group,21,18-20,17,-,-,-,No,FDA STIC website does not recognize breakpoints
Clarithromycin,Streptococcus viridans group,21,17-20,16,-,-,-,No,FDA STIC website does not recognize breakpoints
Clindamycin,Streptococcus viridans group,19,16-18,15,same,same,same,Yes,
Dirithromycin,Streptococcus viridans group,18,14-17,13,-,-,-,No,Dirithromycin not listed on FDA STIC website
Erythromycin,Streptococcus viridans group,21,16-20,15,same,same,same,Yes,
Gatifloxacin,Streptococcus viridans group,21,18-20,17,-,-,-,No,Gatifloxacin not listed on FDA STIC website
Grepafloxacin,Streptococcus viridans group,19,16-18,15,-,-,-,No,Grepafloxacin not listed on FDA STIC website
Levofloxacin,Streptococcus viridans group,17,14-16,13,-,-,-,No,FDA STIC website does not recognize breakpoints
Linezolid,Streptococcus viridans group,21,-,-,same,same,same,Yes,
Ofloxacin,Streptococcus viridans group,16,13-15,12,-,-,-,No,FDA STIC website does not recognize breakpoints
Quinupristin-dalfopristin,Streptococcus viridans group,19,16-18,15,same,same,same,Yes,
Tetracycline,Streptococcus viridans group,23,19-22,18,-,-,-,No,FDA STIC website does not recognize breakpoints
Trovafloxacin,Streptococcus viridans group,19,16-18,15,-,-,-,No,Trovafloxacin not listed on FDA STIC website
Vancomycin,Streptococcus viridans group,17,-,-,same,same,same,Yes,
